Page URL,Structured data,Field,Issue description,Discovered
https://www.caoptical.com/21203-black/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/21203-black/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/abel-black-polarized-clip-on/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/abel-black-polarized-clip-on/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c1/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c1/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c2/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c2/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c3/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c3/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c4/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/aberdeen-prescription-glasses-c4/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/ac8006-cat-eye-prescription-sunglasses-pink/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/ac8006-cat-eye-prescription-sunglasses-pink/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/addison-prescription-glasses-c1/,Merchant listing,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/addison-prescription-glasses-c1/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
https://www.caoptical.com/addison-prescription-glasses-c3/,Product snippet,inLanguage,The property inLanguage is not recognized by Schema.org vocabulary.,09 Mar 2026 (11:55 UTC)
